Year,Cost Per Gallon,Inflation Adjuster,Cost Per Gallon (2023 Adjusted)
1950,0.268,12.28,3.29104
1951,0.272,11.59,3.15248
1952,0.274,11.5,3.151
1953,0.287,11.41,3.27467
1954,0.29,11.5,3.335
1955,0.291,11.46,3.33486
1956,0.299,11.13,3.32787
1957,0.31,10.81,3.3511
1958,0.304,10.62,3.22848
1959,0.305,10.44,3.1842
1960,0.311,10.3,3.2033
1961,0.308,10.24,3.15392
1962,0.306,10.1,3.0906
1963,0.304,9.94,3.02176
1964,0.304,9.84,2.99136
1965,0.312,9.66,3.01392
1966,0.321,9.33,2.99493
1967,0.332,9.06,3.00792
1968,0.337,8.65,2.91505
1969,0.348,8.14,2.83272
1970,0.357,7.71,2.75247
1971,0.364,7.47,2.71908
1972,0.361,7.22,2.60642
1973,0.388,6.65,2.5802
1974,0.532,5.92,3.14944
1975,0.567,5.53,3.13551
1976,0.614,5.28,3.24192
1977,0.656,4.94,3.24064
1978,0.67,4.54,3.0418
1979,0.903,4,3.612
1980,1.245,3.56,4.4322
1981,1.378,3.27,4.50606
1982,1.296,3.15,4.0824
1983,1.241,3.03,3.76023
1984,1.212,2.92,3.53904
1985,1.202,2.81,3.37762
1986,0.927,2.78,2.57706
1987,0.948,2.66,2.52168
1988,0.946,2.55,2.4123
1989,1.022,2.43,2.48346
1990,1.164,2.29,2.66556
1991,1.14,2.23,2.5422
1992,1.127,2.16,2.43432
1993,1.108,2.11,2.33788
1994,1.112,2.05,2.2796
1995,1.147,2,2.294
1996,1.231,1.94,2.38814
1997,1.234,1.9,2.3446
1998,1.059,1.87,1.98033
1999,1.165,1.82,2.1203
2000,1.51,1.76,2.6576
2001,1.461,1.74,2.54214
2002,1.358,1.7,2.3086
2003,1.591,1.67,2.65697
2004,1.88,1.61,3.0268
2005,2.295,1.56,3.5802
2006,2.589,1.52,3.93528
2007,2.801,1.46,4.08946
2008,3.266,1.46,4.76836
2009,2.35,1.42,3.337
2010,2.788,1.4,3.9032
2011,3.527,1.36,4.79672
2012,3.644,1.34,4.88296
2013,3.526,1.32,4.65432
2014,3.367,1.32,4.44444
2015,2.448,1.3,3.1824
2016,2.142,1.27,2.72034
2017,2.408,1.25,3.01
2018,2.735,1.22,2.735
2019,2.64,1.19,3.1416
2020,2.17,1.18,2.5606
2021,3.05,1.1,3.355
2022,4.094,1.03,4.21682
2023,3.5,1,3.5
